Comarca,10/06/21,17/06/21,24/06/21,01/07/21,08/07/21,15/07/21,22/07/21,Taxa d'ingressats /100.000 hab.,"% Canvi
Últ. Setm.",Població
Barcelonès,181,165,160,190,270,505,783,34.37,55,2278437
Pallars Sobirà,1,1,0,1,2,1,2,28.85,100,6932
Garraf,6,8,6,7,16,42,39,25.85,-7.1,150887
Vallès Occidental,43,42,30,43,92,161,235,25.4,46,925237
Baix Empordà,13,7,6,4,9,20,34,25.31,70,134359
Baix Llobregat,46,41,40,36,68,119,205,24.82,72.3,825963
Anoia,15,10,5,4,7,12,29,24.02,141.7,120738
Vallès Oriental,35,28,30,23,33,63,94,22.95,49.2,409638
Pallars Jussà,0,0,0,1,3,3,3,22.94,0,13080
Baix Camp,14,11,4,2,7,18,43,22.52,138.9,190973
Solsonès,2,1,2,1,1,2,3,22.27,50,13469
Moianès,1,1,1,1,0,1,3,22.05,200,13603
Priorat,0,0,0,0,0,1,2,21.63,100,9245
Selva,11,9,8,6,4,19,36,20.98,89.5,171617
Gironès,15,13,12,11,12,29,40,20.63,37.9,193908
Alt Penedès,4,5,4,4,9,19,22,20.29,15.8,108411
Urgell,2,3,2,1,2,4,7,19.08,75,36693
Baix Penedès,3,6,3,5,5,13,20,19.05,53.8,104991
Maresme,18,19,14,15,34,63,86,19,36.5,452690
Alt Camp,4,2,0,1,2,1,8,18.06,700,44296
Tarragonès,16,16,23,16,18,43,43,16.75,0,256730
Cerdanya,0,1,0,1,1,2,3,16.49,50,18192
Alt Empordà,6,5,4,1,4,12,22,15.57,83.3,141339
Noguera,3,1,0,1,2,6,6,15.48,0,38770
Baix Ebre,9,2,2,1,5,7,12,15.46,71.4,77596
Bages,10,9,10,8,12,26,24,13.42,-7.7,178885
Segrià,13,6,10,7,8,9,23,10.96,155.6,209818
Garrigues,1,0,0,0,0,0,2,10.62,Inf,18833
Montsià,3,1,5,0,0,1,7,10.38,600,67436
Conca de Barberà,1,0,0,1,1,1,2,9.98,100,20042
Alt Urgell,0,0,0,0,0,0,2,9.91,Inf,20177
Ribera d'Ebre,2,0,0,0,0,1,2,9.15,100,21865
Terra Alta,0,0,1,1,1,0,1,8.7,Inf,11490
Pla d'Urgell,1,1,1,3,2,3,3,8.18,0,36693
Berguedà,2,0,0,1,2,4,3,7.61,-25,39446
Garrotxa,2,7,3,2,2,1,3,5.21,200,57590
Osona,9,8,8,7,6,6,7,4.35,16.7,160821
Segarra,1,1,3,1,1,0,1,4.34,Inf,23052
Ripollès,2,2,2,2,2,1,1,3.99,0,25087
Pla de l'Estany,3,0,1,0,0,2,1,3.1,-50,32293
Alta Ribagorça,0,0,0,0,0,0,0,0,NaN,3802
Aran,0,0,0,0,1,1,0,0,-100,10093
