Municipi,Fa 6 setm.,Fa 5 setm.,Fa 4 setm.,Fa 3 setm.,Penúltima setm.,Última setm.,"Taxa Últ. Set./
100.000hab",R empírica 7 dies,Risc Rebrot,Últ. 3 dies,Total positius,Població
Mollet del Vallès,281,309,305,213,109,112,218.2,1.03,442.5,30,2907,51318
Santa Perpètua de Mogoda,93,122,110,69,43,51,197.7,1.19,432.1,7,1029,25799
Lliçà d'Amunt,40,58,62,33,13,30,196.6,2.31,650.4,5,474,15256
Canovelles,118,131,92,66,47,32,192.4,0.68,323.5,8,1107,16629
Montcada i Reixac,152,116,164,119,114,66,182.1,0.58,287.6,20,1576,36239
"Llagosta, la",51,68,72,67,38,22,163.2,0.58,257.7,5,721,13480
Martorelles,15,7,16,11,9,7,145.8,0.78,259.2,1,144,4801
Sabadell,742,840,743,531,397,299,140,0.75,245.4,75,9181,213644
Vallgorguina,5,9,7,4,3,4,138.4,1.33,322.8,2,59,2891
"Franqueses del Vallès, les",89,89,87,82,65,27,134.4,0.42,190.2,5,922,20092
Gualba,2,5,6,6,0,2,133.3,Inf,Inf,0,34,1500
Granollers,381,324,259,176,126,81,132.2,0.64,217.2,18,3413,61275
Sant Fost de Campsentelles,20,24,32,50,30,11,125.9,0.37,172.1,2,423,8737
Aiguafreda,9,10,12,4,0,3,119.8,Inf,Inf,1,79,2504
Ripollet,111,115,149,98,74,44,113.8,0.59,181.5,10,1465,38665
Lliçà de Vall,16,16,11,19,7,7,107,1,214,0,238,6542
Rubí,331,339,323,154,83,82,105.9,0.99,210.4,12,3177,77464
Castellar del Vallès,103,117,68,65,24,24,99.2,1,198.5,2,872,24187
Cànoves i Samalús,9,11,8,7,4,3,96.2,0.75,168.4,0,82,3117
"Roca del Vallès, la",33,53,28,21,25,10,93.9,0.4,131.5,0,354,10650
Barberà del Vallès,85,102,92,76,33,31,93.7,0.94,181.7,6,1147,33091
Llinars del Vallès,47,38,30,25,13,9,90.6,0.69,153.3,3,380,9938
Terrassa,984,1090,737,482,283,193,87.5,0.68,147.2,43,10091,220556
Parets del Vallès,97,77,55,28,23,16,83.8,0.7,142.2,1,739,19082
Polinyà,32,19,23,16,22,7,82.6,0.32,108.8,1,286,8479
Palau-solità i Plegamans,39,39,28,28,17,12,81.2,0.71,138.6,1,477,14771
Sant Feliu de Codines,14,10,9,14,5,5,79.9,1,159.8,1,195,6259
Sant Cugat del Vallès,221,288,340,178,84,67,73.6,0.8,132.3,6,3003,91006
"Garriga, la",66,105,94,71,19,12,72.7,0.63,118.6,7,688,16514
Sant Esteve de Palautordera,3,4,3,4,1,2,70.9,2,212.8,0,54,2820
Cardedeu,70,76,57,23,13,13,70.8,1,141.6,5,556,18357
Santa Eulàlia de Ronçana,24,28,17,26,21,5,68.6,0.24,84.9,0,223,7288
Cerdanyola del Vallès,166,222,171,111,78,39,67.9,0.5,101.9,38,2255,57403
Sant Celoni,36,53,60,36,33,12,67,0.36,91.4,3,508,17904
Viladecavalls,15,27,17,7,8,5,66.6,0.62,108.2,2,244,7512
Sentmenat,35,22,30,26,8,6,66.1,0.75,115.7,3,273,9078
Sant Quirze del Vallès,53,66,79,44,26,13,64.5,0.5,96.8,2,800,20141
Matadepera,35,53,15,15,9,6,64.3,0.67,107.2,2,376,9326
Santa Maria de Palautordera,18,19,20,32,11,6,63.7,0.55,98.4,2,221,9423
Montornès del Vallès,47,74,99,62,53,10,61,0.19,72.5,5,768,16393
Badia del Vallès,31,48,26,11,9,8,59.8,0.89,112.9,1,413,13380
Sant Pere de Vilamajor,7,15,13,6,3,2,44.7,0.67,74.5,0,104,4472
Bigues i Riells,19,36,30,19,10,4,44,0.4,61.6,1,258,9092
Vallromanes,15,22,6,9,3,1,38.8,0.33,51.7,3,101,2579
Vilanova del Vallès,32,12,25,33,17,2,36.8,0.12,41.2,0,211,5432
Castellbisbal,61,58,31,13,4,4,32.3,1,64.6,0,365,12390
Vacarisses,20,11,20,15,7,2,29.9,0.29,38.4,1,213,6688
Caldes de Montbui,51,55,45,31,33,5,28.5,0.15,32.8,6,584,17554
"Ametlla del Vallès, l'",36,55,37,16,5,2,23.6,0.4,33.1,2,315,8462
Sant Antoni de Vilamajor,40,14,16,17,6,1,16.3,0.17,19,3,214,6135
Campins,1,2,2,2,2,0,0,0,0,0,13,529
Fogars de Montclús,1,0,0,0,1,0,0,0,0,0,5,470
Gallifa,0,0,1,1,0,0,0,NaN,NaN,0,6,172
Figaró-Montmany,3,7,5,4,0,0,0,NaN,NaN,0,57,1114
Montmeló,38,41,30,15,16,0,0,0,0,0,344,8755
Montseny,0,1,2,0,0,0,0,NaN,NaN,1,5,342
Rellinars,0,3,0,0,0,0,0,NaN,NaN,0,7,780
Sant Llorenç Savall,11,12,9,5,2,0,0,0,0,0,160,2373
Santa Maria de Martorelles,13,4,2,0,4,0,0,0,0,0,42,893
Tagamanent,0,3,0,0,4,0,0,0,0,1,10,323
Ullastrell,6,11,4,0,1,0,0,0,0,0,61,2093
Vilalba Sasserra,1,4,1,1,0,0,0,NaN,NaN,0,65,716
