Comarca,Fa 6 setm. (11/06-17/06),Fa 5 setm. (18/06-24/06),Fa 4 setm. (25/06-01/07),Fa 3 setm. (02/07-08/07),Penúltima setm. (09/07-15/07),Última setm. (16/07-22/07),"Taxa Últ. set./
100.000hab","Taxa Últ. 14d/
100.000hab",Població
Vallès Occidental,15014,15543,20973,35400,39836,36627,3958.66,8264.15,925237
Pallars Sobirà,80,97,92,165,176,265,3822.85,6361.8,6932
Bages,2703,2390,2816,4237,5287,6402,3578.84,6534.37,178885
Maresme,6166,6046,8486,15935,16876,15974,3528.68,7256.62,452690
Vallès Oriental,5294,5678,7883,16609,16155,14358,3505.05,7448.77,409638
Barcelonès,33007,34436,45623,83783,89498,79101,3471.72,7399.77,2278437
Moianès,210,193,234,315,368,464,3411.01,6116.3,13603
Pla de l'Estany,375,518,613,869,924,1092,3381.54,6242.84,32293
Baix Llobregat,12579,12297,15967,28113,29877,27703,3354.02,6971.26,825963
Pla d'Urgell,311,336,446,762,992,1223,3333.06,6036.57,36693
Gironès,2716,2976,3373,6398,6957,6373,3286.61,6874.39,193908
Segarra,371,335,341,532,653,743,3223.15,6055.87,23052
Pallars Jussà,189,137,192,416,528,421,3218.65,7255.35,13080
Segrià,2382,2295,2490,3982,5573,6543,3118.42,5774.53,209818
Noguera,359,373,407,743,973,1198,3090.02,5599.69,38770
Baix Empordà,1513,1229,1412,3180,4243,4039,3006.13,6164.08,134359
Alt Penedès,1581,1245,1451,3082,3585,3258,3005.23,6312.09,108411
Alt Urgell,236,244,349,511,784,600,2973.68,6859.3,20177
Alta Ribagorça,70,27,37,60,60,113,2972.12,4550.24,3802
Berguedà,611,478,515,940,989,1168,2961.01,5468.24,39446
Baix Camp,2228,2295,2576,5744,6135,5522,2891.51,6104,190973
Montsià,632,617,689,921,1411,1914,2838.25,4930.6,67436
Garraf,1650,1813,2266,5457,4787,4204,2786.19,5958.76,150887
Anoia,1548,1515,1612,2949,3037,3261,2700.89,5216.25,120738
Selva,2004,1664,1963,3942,5242,4632,2699.03,5753.51,171617
Alt Camp,529,740,623,1036,1164,1182,2668.41,5296.19,44296
Tarragonès,3050,3102,2926,6338,7867,6775,2638.96,5703.27,256730
Urgell,469,358,359,697,922,934,2545.44,5058.19,36693
Osona,1913,2134,3021,3755,3918,3966,2466.1,4902.34,160821
Solsonès,206,187,429,535,266,328,2435.22,4410.13,13469
Baix Ebre,947,1271,1683,1575,1740,1882,2425.38,4667.77,77596
Conca de Barberà,209,192,401,498,477,484,2414.93,4794.93,20042
Garrigues,224,124,167,347,339,450,2389.42,4189.45,18833
Ripollès,176,177,278,471,433,598,2383.7,4109.7,25087
Garrotxa,650,615,850,1502,1419,1315,2283.38,4747.35,57590
Baix Penedès,1206,1202,1320,2213,2598,2278,2169.71,4644.21,104991
Alt Empordà,1302,1114,1090,2058,2963,3026,2140.95,4237.33,141339
Cerdanya,195,189,264,527,436,364,2000.88,4397.54,18192
Terra Alta,112,116,140,250,176,215,1871.19,3402.96,11490
Priorat,93,73,213,197,186,169,1828.02,3839.91,9245
Aran,103,60,156,173,200,168,1664.52,3646.09,10093
Ribera d'Ebre,195,172,161,286,321,323,1477.25,2945.35,21865
