ABS,Fa 6 setm.,Fa 5 setm.,Fa 4 setm.,Fa 3 setm.,Penúltima setm.,Última setm.,"Taxa Últ. set./
100.000hab",R empírica 7 dies,Risc Rebrot,Últ. 3 dies,Total positius,Població
SABADELL 7 - La Serra,44,46,52,53,26,35,389,1.35,912.7,9,446,8997
MOLLET DEL VALLÈS-2 OEST,150,156,161,95,47,52,220.7,1.11,464.8,7,1422,23565
MOLLET DEL VALLÈS-EST,131,153,143,118,62,60,209.5,0.97,412.2,23,1482,28642
SANTA PERPÈTUA DE LA MOGODA,93,122,109,69,43,51,201.6,1.19,440.7,7,1028,25300
GRANOLLERS 1 -OEST,145,173,131,85,78,44,193,0.56,301.9,9,1511,22796
MONTCADA I REIXAC,152,116,165,119,114,66,191,0.58,301.7,20,1580,34546
SABADELL 2 - Creu Alta,123,112,104,74,44,44,179.7,1,359.4,10,1080,24488
SABADELL 3A - Ca n'Oriach,69,77,89,33,44,33,167.3,0.75,292.8,10,1063,19723
LA LLAGOSTA,51,68,72,67,38,22,158.4,0.58,250.1,5,721,13889
SABADELL 4-A - Concòrdia,50,53,41,38,23,23,154,1,308,4,621,14934
GRANOLLERS 2 - NORD,150,143,151,110,93,46,153.8,0.49,229.8,9,1620,29916
RIPOLLET-1,40,56,73,48,33,27,151.7,0.82,275.9,6,690,17795
SABADELL 6 - Sud,120,131,108,96,88,44,144.6,0.5,216.8,5,1522,30438
SABADELL 1B - Sant Oleguer,57,68,49,26,33,30,142.7,0.91,272.4,6,825,21028
MARTORELLES,48,35,50,61,43,18,127.8,0.42,181.3,3,609,14088
VALL DEL TENES,100,138,119,97,51,46,125.2,0.9,238.2,6,1193,36736
GRANOLLERS 3 - CENTRE EST,182,155,106,84,52,35,120.2,0.67,201.1,10,1454,29112
SABADELL 5 - Gràcia-Merinals,61,79,64,50,17,23,117.8,1.35,277.2,6,731,19524
RUBÍ 2,206,247,139,66,26,45,112.9,1.73,308.2,2,1783,39874
SABADELL 4-B - Can Rull,83,81,96,54,43,27,112.4,0.63,183,12,970,24020
SABADELL 3B - Nord,47,76,59,37,26,18,111.7,0.69,189,3,713,16119
RUBÍ 1,118,94,160,76,43,34,108.3,0.79,193.9,3,1200,31399
RIPOLLET-2,50,37,54,32,16,16,107.8,1,215.6,4,500,14840
CERDANYOLA DEL VALLÈS 2,59,103,68,51,38,25,103.8,0.66,172,27,1062,24096
TERRASSA A - Sant Llàtzer,179,174,128,98,44,42,101.2,0.95,197.8,5,1968,41505
LA ROCA DEL VALLÈS,33,51,28,21,25,10,96.6,0.4,135.2,0,347,10353
BARBERÀ DEL VALLÈS,85,102,92,76,33,31,94.8,0.94,183.9,6,1147,32694
CASTELLAR DEL VALLÈS,114,129,77,70,26,24,92.5,0.92,177.9,2,1032,25941
TERRASSA C - Antoni Creus,39,31,28,35,19,10,92.3,0.53,140.9,4,465,10835
GRANOLLERS 4 - SUD,111,73,50,45,15,15,92.1,1,184.2,3,861,16289
TERRASSA E - Rambla,202,312,209,155,79,54,86.1,0.68,144.9,13,2533,62745
SANT CUGAT DEL VALLÈS-2,68,88,92,57,24,27,85.1,1.12,180.9,2,1067,31720
PARETS DEL VALLÈS,97,77,55,28,23,16,85,0.7,144.1,1,740,18825
SANT CUGAT DEL VALLÈS-1,75,106,146,68,39,26,84.3,0.67,140.4,3,1078,30857
PALAU-SOLITÀ I PLEGAMANS,39,39,28,28,17,12,80.7,0.71,137.7,1,477,14863
TERRASSA-G - Sud,80,120,76,40,41,20,80.1,0.49,119.1,4,1030,24980
TERRASSA D - Oest,110,152,113,52,39,26,79,0.67,131.7,5,1406,32893
TERRASSA F - Nord,253,253,144,79,40,33,78.1,0.82,142.6,6,2053,42247
TERRASSA B - Est,189,142,78,46,41,21,77,0.51,116.4,10,1388,27274
POLINYÀ-SENTMENAT,67,41,53,42,30,13,76.6,0.43,109.8,4,558,16970
CARDEDEU,79,87,65,30,17,16,75,0.94,145.6,5,638,21327
SANT CELONI,66,93,100,84,51,26,74.3,0.51,112.1,8,900,35010
SABADELL 1A - Centre,88,115,80,70,53,22,65.3,0.42,92.4,10,1210,33710
SANT QUIRZE DEL VALLÈS,41,63,76,43,24,11,61.1,0.46,89,2,735,18015
LA GARRIGA,114,180,148,95,28,17,59,0.61,94.8,11,1152,28831
ALT MOGENT,95,70,60,49,22,12,58.2,0.55,89.9,6,762,20623
CIUTAT BADIA,31,47,26,11,9,8,57.4,0.89,108.4,1,413,13944
SANT CUGAT DEL VALLÈS-3,78,91,101,53,21,14,55,0.67,91.7,1,851,25453
CERDANYOLA-RIPOLLET,39,55,59,37,45,6,44.6,0.13,50.5,1,605,13465
RUBÍ -3,62,56,52,24,16,7,43,0.44,61.9,7,527,16264
CALDES DE MONTBUI,65,65,55,46,38,10,42.5,0.26,53.7,7,783,23527
MONTORNÈS / MONTMELÓ,132,149,160,119,89,13,39.6,0.15,45.4,8,1424,32837
CERDANYOLA DEL VALLÈS 1,89,86,66,41,19,9,37.4,0.47,55.1,10,855,24051
